0235/022,50 California Street,50 CALIFORNIA ST,94111,785149, ,http://propertymap.sfplanning.org/?&search=0235/022,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,4/1/13,Exempt - LEED EBOM,94,45.7,,-47.7,,2967.52,,46.5,,90,46.9,146.1,-45.4,,2823.1,,46.8,145.9,91,45.2,132,-47.2,-47.2,2823.1,3.8,45.3,132.1,93,41.1,122.4,-50.2,-50.2,2416.1,3.3,42,123.4,95,40.2,117.5,-54.2,-54.2,2342,3.2,40.5,117.8
1202/002J,616 DIVISADERO ST,616 DIVISADERO ST,94117,30108, ,http://propertymap.sfplanning.org/?&search=1202/002J,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - Vacant,Exempt,Exempt - Vacant,Exempt,Exempt - Vacant,Exempt,Exempt - Vacant,Exempt,Exempt - Vacant,4/1/17,Upcoming,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3714/019,Hotel Vitale,8 Mission St,94105,142726,Hotel,http://propertymap.sfplanning.org/?&search=3714/019,Complied,,Violation - Did Not Report,,Violation - Did Not Report,,Complied,,Complied,,Complied,,4/1/15,Complied,,,,,,,,,,,,,,,950.7,,,,55,105.5,188.5,-4.7,-4.7,950.7,6.7,105.5,188.5,59,95,175.1,-8.1,-8.1,866.1,6.1,96.9,177.2,61,94.1,174,-10.3,-10.3,859.3,6,94.9,173.7
0294/007,216 POST ST,216 POST ST,94108,38400, ,http://propertymap.sfplanning.org/?&search=0294/007,Exempt,Exempt - SqFt Not Subject This Year,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,4/1/13,Did Not Comply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4288/005,1740 Cesar Chavez,1740 Cesar Chavez,94107,60573,Mixed Use Property,http://propertymap.sfplanning.org/?&search=4288/005,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Complied,,Complied,,Violation - Did Not Report,,4/1/14,Complied,,,,,,,,,,,,,,,189.3,,,,,41.9,110.1,-10.6,-10.6,189.3,3.1,41.7,110.7,,41.6,111.7,-9.3,-9.3,189.7,3.1,42.2,110.4,,,,,,,,,
0040/017,295 BAY ST,295 BAY ST,94133,26069, ,http://propertymap.sfplanning.org/?&search=0040/017,Violation - Did Not Report,,Exempt,,Exempt,,Exempt,,Exempt,,Violation - Did Not Report,,4/1/14,Upcoming,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3517/016,245 11th Street,245 11TH ST,94103,19425,Urgent Care/Clinic/Other Outpatient,http://propertymap.sfplanning.org/?&search=3517/016,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,Complied,,Complied,,Complied,,Complied,,4/1/13,Complied,,,,,,,,,,,,,,,41.6,,,,,80.4,214,-45.1,-45.1,41.6,6.4,78.3,211.8,,23.7,66.6,-63.6,-63.6,35.5,1.8,25.2,68.2,,22,63.3,-65.4,-65.4,33.3,1.7,21.9,62.3
0309/024,251 Post Street,251 POST ST,94108,44573,Office,http://propertymap.sfplanning.org/?&search=0309/024,Exempt,Exempt - SqFt Not Subject This Year,Complied,,Complied,,Complied,,Complied,,Violation - Did Not Report,,4/1/13,Pending,,,,,,,,,,79,41.6,124.3,-30.5,,61.7,,41.2,123.9,99,17.3,51,-69.3,-69.3,61.7,1.4,17.3,51.1,99,18.6,53.4,-66.9,-66.9,65.9,1.5,18.6,53.4,,,,,,,,,
3785/004A,444 TOWNSEND ST,444 TOWNSEND ST,94107,73100, ,http://propertymap.sfplanning.org/?&search=3785/004A,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,4/1/14,Did Not Comply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3912/003,25 Division,25 DIVISION ST,94103,41777,Office,http://propertymap.sfplanning.org/?&search=3912/003,Exempt,Exempt - SqFt Not Subject This Year,Complied,,Complied,,Complied,,Complied,,Pending,,4/1/13,Complied,,,,,,,,,,,17.7,41,-73.9,,170.6,,18.7,41.9,82,67.2,108.3,-35.6,-35.6,170.6,4.1,66,107,77,66.7,113.7,-29.1,-29.1,172.9,4.1,68.1,115.1,,,,,,,,,
3738/011,301 Howard,301 HOWARD ST,94105,342355,Office,http://propertymap.sfplanning.org/?&search=3738/011,Complied,,Complied,,Complied,,Complied,,Complied,,Exempt,Exempt - Change of Ownership,4/1/13,Exempt - ENERGY STAR,85,47.4,,-38.8,,1258.71,,47.4,,86,57.4,140.8,-39.5,,1585.7,,56.6,140.8,82,60.8,148.2,-34.5,-34.5,1585.7,4.6,60.9,148.3,85,60.2,149.9,-37.7,-37.7,1498.4,4.4,61.8,151.6,,,,,,,,,
